# Brian
# sorted alpha-numerically
# do NOT re-sort!
# 1287
BUU - Burundi.txt
BVR - Beaver.txt
BYT - Bayreuth.txt
BYZ - ByzantineEmpire.txt
CAB - Carib.txt
CAD - Caddo.txt
CAG - Cagliari.txt
CAL - California.txt
CAM - UPCA.txt
CAN - Canada.txt
CAP - Cappadocia.txt
CAS - Castile.txt
CTL - Catalunya.txt
CBA - Chiba.txt
CBR - Calabria.txt
CCC - Cochinchina.txt
CCM - Chichimeca.txt
CCQ - Calchaqui.txt
CDA - Candia.txt
CDB - Cordoba.txt
CDC - Citta di Castello.txt
CDL - Dali.txt
CEB - Cebu.txt
CEL - Tir na Celtigh.txt
CEN - Ceneda.txt
CEP - Corfu.txt
CEV - Ceva.txt
CEY - Ceylon.txt
CGS - Changsheng.txt
CHA - Champa.txt
CHC - Chu.txt
CHD - Chanda.txt
CHE - Cherokee.txt
CHG - Chagatai Khanate.txt
CHH - Chahar.txt
CHI - Chickasaw.txt
CHK - Champassak.txt
CHL - Chile.txt
CHM - Chimu.txt
CHO - Choctaw.txt
CHP - Champagne.txt
CHR - Chernigov.txt
CHS - Chumash.txt
CHT - Chorti.txt
CHU - Chukchi.txt
CHV - Chavchuveny.txt
CHY - Cheyenne.txt
CIE - Chieri.txt
CIK - Canik.txt
CIL - Cilicia.txt
CIR - Circassia.txt
CJA - Cajamarca.txt
CKW - Chokwe.txt
CLA - Colla.txt
CLB - Calenberg.txt
CLI - Cilli.txt
CLM - Colima.txt
CLN - Clandeboye.txt
CMB - Cambrai.txt
CMI - Miao.txt
CMN - Cremona.txt
CMO - Como.txt
CMP - Rewa Kantha.txt
CMR - Camerino.txt
CND - Candar.txt
CNK - Chinook.txt
CNL - Carniola.txt
CNN - Clanricarde.txt
CNP - Can Pech.txt
COB - Coburg.txt
COC - Cocomes.txt
COI - Coixtlahuaca.txt
COL - Colombia.txt
COM - Comanche.txt
COR - Corsica.txt
CPY - Chipewyan.txt
CRA - Charca.txt
CRB - Cirebon.txt
CRE - Creek.txt
CRI - Crimea.txt
CRN - Cornwall.txt
CRO - Croatia.txt
CRP - Carpegna.txt
CRR - Correggio.txt
CRT - Crete.txt
CSC - Cascadia.txt
CSH - Shun.txt
CSK - Chosokabe.txt
CST - Chester.txt
CSU - Cusco.txt
CTG - Castiglione.txt
CTM - Chactemal.txt
CTN - Cortona.txt
CUA - Charrua.txt
CUB - Cuba.txt
CUI - Chiusi.txt
CUM - Cumania.txt
CXI - Xi.txt
CYA - Chachapoya.txt
CYI - Yi.txt
CYP - Cyprus.txt
CYR - Cyrenaica.txt
CZH - Zhou.txt
DAH - Dahomey.txt
DAI - Dai Viet.txt
DAL - Dalmatia.txt
DAM - Damot.txt
DAN - Denmark.txt
DAR - Darfur.txt
DAU - Dauphine .txt
DAW - Dawasir.txt
DBD - Debdou.txt
DEC - Deccan.txt
DGB - Dagbon.txt
DGL - Maldives.txt
DHU - Dhundhar.txt
DLH - Delhi.txt
DMA - Ma.txt
DMK - Demak.txt
DMS - Desmond.txt
DNE - Dene.txt
DNG - Dang.txt
DNL - Danelaw.txt
DNZ - Danzig.txt
DON - Don.txt
DOV - Dovadola.txt
DPT - Dapitan.txt
DRJ - Dobruja.txt
DRM - Darmstadt.txt
DRP - Dorpat.txt
DRT - Dortmund.txt
DTE - Date.txt
DTI - Doti.txt
DTK - Drutsk.txt
DTT - Ditmarschen.txt
DUL - Dulkadir.txt
DUR - Durham.txt
DWT - Donauwoerth.txt
ECO - East Connacht.txt
EFR - East Frisia.txt
EGR - Eger.txt
EGY - Egypt.txt
EJZ - East Jianzhou.txt
EMR - EmiliaRomagna.txt
ENA - Eneara.txt
ENG - England.txt
EOR - Eora.txt # new in 1.31
EPI - Despotate of Epirus.txt
ERE - Eretna.txt
ESN - Essen.txt
EST - Estonia.txt
ETH - Ethiopia.txt
ETR - Etruria.txt
EYK - Eyak.txt
FAB - Fabriano.txt
FAD - Fadl.txt
FAF - Farafra.txt
FCM - FrancheComte.txt
FDI - Fadhli.txt
FEO - Theodoro.txt
FER - Ferrara.txt
FEZ - Fez.txt
FGH - Fermanagh.txt
FIN - Finland.txt
FKN - Franconia.txt
FLA - Flanders.txt
FLD - Fulda.txt
FLG - Foligno.txt
FLO - Florida.txt
FLY - Faly.txt
FMA - Ma-i.txt
FMO - Fermo.txt
FNG - Fang.txt
FNJ - Btfunj.txt
FNL - Finale.txt
FNZ - Faenza.txt
FOI - Foix.txt
FOX - Fox.txt
FRA - France.txt
FRE - Frisia.txt
FRI - Friesland.txt
FRL - Forli.txt
FRM - Formosa.txt
FRN - Frankfurt.txt
FRS - Fars.txt
FTR - Feltre.txt
FUL - Fulo.txt
FZA - Fezzan.txt
GAL - Galicia.txt
GAM - Guamar.txt
GAZ - Gazikumukh.txt
GBR - Great Britain.txt
GDM - Nafusi.txt
GDW - Gondwana.txt
GEL - Gelre.txt
GEN - Genoa.txt
GEO - Georgia.txt
GER - Germany.txt
GHD - Djerid.txt
GHR - Garhwal.txt
GLA - Glamorgan.txt
GLC - RussianGalich.txt
GLE - Geledi.txt
GLG - Glogau.txt
GLH - Golden Horde.txt
GLL - Gallura.txt
GLU - Galuh.txt
GLW - Galway.txt
GMI - Gamilaraay.txt # new in 1.31
GMV - GreatMoravia.txt
GNG - Gingee.txt
GNV - Geneva.txt
GOC - Golcanda.txt
GOL - Great Horde.txt
GOS - Goslar.txt
GOT - Gotland.txt
GRA - Granada.txt
GRE - Greece.txt
GRJ - Garjat.txt
GRK - Gorkha.txt
GRM - Germiyan.txt
GRN - Groningen.txt
GRO - Grosetto.txt
GRZ - Gorizia.txt
GTA - Gotaland.txt
GUA - Guarani.txt
GUB - Gubbio.txt
GUG - Guge.txt
GUJ - Gujarat.txt
GUY - Gascony.txt
GWA - Gwalior.txt
GZR - Gazaria.txt
HAB - Austria.txt
HAD - Hadoti.txt
HAI - Hainaut.txt
HAM - Hamburg.txt
HAN - Hannover.txt
HAR - Harar.txt
HAT - Haiti.txt
HAU - Hausa.txt
HDA - Haida.txt
HDR - Hadramut.txt
HDS - Hidatsa.txt
HDY - Hadiya.txt
HED - The Hedjaz.txt
HEL - Heilbronn.txt
HES - Hessen.txt
HIN - Hindustan.txt
HJA - Huyla.txt
HJO - Hojo.txt
HLR - Holy Roman Empire.txt
HMI - Kara Del.txt
HOB - Hobyo.txt
HOD - Hodyntsy.txt
HOH - Hohenzollern.txt
HOL - Holland.txt
HOP - Hopi.txt
HOY - Hoya.txt
HRZ - Herzegovina.txt
HSA - Hansa.txt
HSC - Highlands.txt
HSE - Hsenwi.txt
HSI - Hsipaw.txt
HSK - Hosokawa.txt
HSN - Hisn Kayfa.txt
HST - Huastec.txt
HTK - Hatakeyama.txt
HUA - Huai.txt
HUN - Hungary.txt
HUR - Huron.txt
HWA - Hawwara.txt # changed from HAW
IBE - Iberia.txt
ICE - Iceland.txt
ICM - Ichma.txt
IDG - Indragiri.txt
IDP - Inderapura.txt
IDR - Idar.txt
IFG - Ifugao.txt
IKE - Ikeda.txt
ILI - Illinois.txt
ILK - Ilkhanate.txt
ILL - Illinewek.txt
ILY - Illyria.txt
IME - Imereti.txt
IMG - Imagawa.txt
INC - Inca Empire.txt
ING - Ingolstadt.txt
INI - Ingria.txt
INK - Inuktitut.txt
IRE - Ireland.txt
IRO - Iroqouis.txt
IRQ - Iraq.txt
ISF - Isfahan.txt
ISK - Isshiki.txt
ITA - Italy.txt
ITL - Italia.txt
ITO - Ito.txt
ITZ - Itza.txt
IVE - Iveagh.txt
IVR - Ivrea.txt
JAE - Jaen.txt
JAI - Malta.txt
JAJ - Janjira.txt
JAN - Jangaldesh.txt
JAP - Japan.txt
JAR - Jarai.txt
JAV - Java.txt
JAW - Jawor.txt
JEP - Kalinyamat.txt
JER - JerseyandGuernsey.txt
JFN - Jaffna.txt
JGD - Junagadh.txt
JIM - Jima.txt
JIN - Jin.txt
JJI - Janjiro.txt
JLV - Jhalavad.txt
JMB - Jambi.txt
JML - Jumla.txt
JMN - Jan Mayen.txt
JMT - Jamtland.txt
JNN - Jenne.txt
JNP - Jaunpur.txt
JOH - Johor.txt
JOL - Jolof.txt
JPR - Jeypore.txt
JSL - Jaisalmer.txt
JUL - Julich.txt
JUT - Jutland.txt
JYK - Jayakarta.txt
KAC - Kachar.txt
KAF - Kaffa.txt
KAL - Kale.txt
KAM - Mdo Khams.txt
KAN - Kano.txt
KAQ - Kaqchikel.txt
KAR - Karaman.txt
KAS - Yarkand.txt
KAT - Kathiawar.txt
KAU - Kaurna.txt # new in 1.31
KAZ - Kazan.txt
KBA - Kabylia.txt
KBN - Kuban.txt
KBO - KanemBornu.txt
KBU - Kaabu.txt
KCH - Khachen.txt
KED - Kedah.txt
KEL - Kelantan.txt
KEM - Keme.txt
KER - Keres.txt
KET - Kengtung.txt
KGC - Kengcheng.txt
KGR - Kangra.txt
KHA - MongolKhanate.txt
KHD - Khandesh.txt
KHI - Khiva.txt
KHM - Khmer.txt
KHO - Khorasan.txt
KIC - Kiche.txt
KID - Kildare.txt
KIE - Kiev.txt
KIK - Kikondja.txt
KIO - Kiowa.txt
KJH - Keonhjar.txt
KKC - Kikuchi.txt
KLD - Kalundwe.txt
KLE - Kleves.txt
KLH - Kalahandi.txt
KLK - Khalkha.txt
KLM - Kalmyk.txt
KLN - Keladi.txt
KLP - Kalpi.txt
KLT - Kolathunad.txt
KLU - Kreuzburg.txt
KLY - Kalapuya.txt
KMC - Kamchadals.txt
KME - KhmerEmpire.txt
KMI - Kammin.txt
KMN - Kumaon.txt
KMT - Koch.txt
KND - Kandy.txt
KNG - Kong.txt
KNI - The Knights.txt
KNO - Kono.txt
KNT - KnightsTemplar.txt
KNZ - Konstanz.txt
KOC - Kochin.txt
KOH - Koho.txt
KOI - Mann.txt
KOJ - Jerusalem.txt
KOK - Kokkand.txt
KOL - Cologne.txt
KON - Kongo.txt
KOR - Korea.txt
KRA - Krakow.txt
KRC - Khorchin.txt
KRK - Carnatic.txt
KRL - Karelia.txt
KRM - Kerman.txt
KRO - Crossen.txt
KRW - Karagwe.txt
KRY - Biapis.txt
KSD - Khoshuud.txt
KSH - Kashmir.txt
KSJ - Kasanje.txt
KTB - Kitabatake.txt
KTS - Katsina.txt
KTU - Kathmandu.txt
KTX - Kootenay.txt
KUB - Kuba.txt
KUK - Kuku.txt
KUL - Kulin.txt # new in 1.31
KUM - Kulm.txt # changed from KUL
KUR - Courland.txt
KUT - Kutai.txt
KZB - Kazembe.txt
KZH - Khazak Horde.txt
LAC - Tzotzil.txt
LAN - Florence.txt
LAO - Laon.txt
LAP - La Plata.txt
LAR - Larrakia.txt # new in 1.31
LAU - Lauenburg.txt
LBV - Landshut.txt
LCA - Lancaster.txt
LCN - Lucania.txt
LDA - Landak.txt
LDK - Ladakh.txt
LDU - Lundu.txt
LEB - Lebanon.txt
LEC - Lecce.txt
LEG - Legnica.txt
LEI - Leinster.txt
LEN - Lenape.txt
LES - Lesbos.txt
LFA - Lanfang.txt
LGD - Logudoro.txt
LGH - Laghouat.txt
LGN - Laigin.txt # changed from LAI
LGR - Langres.txt
LGT - Latgallia.txt
LHJ - Lahej.txt
LHU - LowerHungary.txt
LIB - Libertatia.txt
LIE - Liege.txt
LIG - Ligor.txt
LIP - Lipan.txt
LIT - Lithuania.txt
LIV - LivonianOrder.txt
LMV - LombardyVenetia.txt
LNA - LanNa.txt
LND - Lunda.txt
LNG - Liang.txt
LNO - Lanao.txt
LOA - Loango.txt
LOD - London.txt
LOI - TheIsles.txt
LOM - Lombardy.txt
LON - Leon.txt
LOR - Lorraine.txt
LOT - Lotharingia.txt
LOU - Lousiana.txt
LPP - Lippe.txt
LRI - Luristan.txt
LTE - LatinEmpire.txt
LUA - Luang Prabang.txt
LUB - Luba.txt
LUC - Lucca.txt
LUN - Luneburg.txt
LUW - Luwu.txt
LUX - Luxembourgh.txt
LVA - Livonia.txt
LWA - Limbuwan.txt
LXA - LanXang.txt
LXL - Luxeuil.txt
MAB - Malabar.txt
MAD - Madurai.txt
MAE - Maeda.txt
MAG - Magdeburg.txt
MAH - Mahican.txt
MAI - Mainz.txt
MAJ - Majapahit.txt
MAK - Makuria.txt
MAL - Mali.txt
MAM - Mameluks.txt
MAN - Mantua.txt
MAR - Marathas.txt
MAS - Madyas.txt
MAT - Matlatzinca.txt
MAW - Marwar.txt
MAY - Maya.txt
MAZ - Mazovia.txt
MBA - Mombasa.txt
MBL - Bishnupur.txt
MBZ - Montfort-Bregenz.txt
MCA - Muisca.txt
MCH - Manchu.txt
MCM - MacCarthy.txt
MCN - Macaronesia.txt
MDA - Medina.txt
MDI - Mogadishu.txt
MED - Medri Bahri.txt
MEI - Meissen.txt
MEM - Memmingen.txt
MEN - Mentese.txt
MER - Mewar.txt
MEW - Mewat.txt
MEX - Mexico.txt
MFA - Montferrat.txt
MFL - Mikhlaf.txt
MFY - Mahafaly.txt
MGD - Maguindanao.txt
MGE - Mongol Empire.txt
MGH - Monaghan.txt
MGK - Mangkunegaran.txt
MGR - Maregh.txt
MGT - Innu.txt
MHR - Mahra.txt
MHX - Haixi.txt
MIA - Mianjin.txt # new in 1.31
MID - Mercia.txt
MIK - Mikmaq.txt
MII - Min.txt
MIR - Merina.txt
MIS - Miskito.txt
MIX - Mixtec.txt
MJE - Majeereen.txt
MJO - Majorca.txt
MJZ - Jianzhou.txt
MKA - Mong Kawng.txt
MKG - Muskegon.txt
MKL - Mecklenburg.txt
MKP - Makwanpur.txt
MKR - Btmakuria.txt
MKS - Makassar.txt
MKU - Makua.txt
MLA - Mologa.txt # changed from MLG
MLB - Manipur.txt
MLC - Malacca.txt
MLG - Malagana.txt # new in 1.31
MLH - Mulhouse.txt
MLI - Malindi.txt
MLK - Karabakh.txt
MLO - Milan.txt
MLW - Malwa.txt
MMA - Mong Mao.txt
MMI - Miami.txt
MMT - Mong Mit.txt
MNA - Manila.txt
MNC - Monaco.txt
MND - Minden.txt
MNG - Ming.txt
MNI - Mong Nai.txt
MNN - Mnong.txt
MNO - Masserano.txt
MNS - Munster.txt
MOD - Modena.txt
MOE - Morea.txt
MOJ - Mojave.txt
MOL - Moldavia.txt
MON - Montenegro.txt
MOR - Morocco.txt
MOS - Muscowy.txt
MOZ - Mozhaysk.txt
MPA - Mong Pai.txt
MPC - Mapuche.txt
MPH - MuanPhuan.txt
MPK - Malopolska.txt
MRA - Maravi.txt
MRC - Marche.txt
MRE - Marehan.txt
MRI - Mori.txt
MRK - Marrakesh.txt
MRT - Macerata.txt
MRU - Mrudah.txt
MRV - Moravia.txt
MSA - Malaya.txt
MSE - Moosonee.txt
MSI - Mossi.txt
MSL - Mosalsk.txt
MSM - MassaMarittima.txt
MSS - Massa.txt
MST - Munsterberg.txt
MSY - Mushashaiyyah.txt
MTA - Matera.txt
MTH - Meath.txt
MTR - Mataram.txt
MTS - Rimini.txt
MTZ - Metz.txt
MUG - Mughal.txt
MUL - Multan.txt
MUN - Munster.txt
MUR - Murcia.txt
MUS - Muscat.txt
MVI - Mondovi.txt
MWK - Miwok.txt
MYA - MongYang.txt
MYO - Mayo.txt
MYR - Yeren.txt
MYS - Mysore.txt
MZB - Mzab.txt
NAG - Nagpur.txt
NAH - Navajo.txt
NAJ - Najd.txt
NAM - Namslau.txt
NAP - Naples.txt
NAT - Natives.txt
NAV - Navarra.txt
NAX - Naxos.txt
NBA - Nubia.txt
NDO - Ndongo.txt
NED - Netherlands.txt
NEG - Negroponte.txt
NEO - Neopatria.txt
NEU - Neumark.txt
NEV - Nevers.txt
NGA - Nagaur.txt
NGP - Jharkhand.txt
NHA - Nahani.txt
NHX - North Haixi.txt
NIE - Niesse.txt
NJR - Najran.txt
NKO - Nkore.txt
NKR - Goguryeo.txt
NNG - Ning.txt
NOG - Nogai.txt
NOL - Northumberland.txt
NOO - Noongar.txt # new in 1.31
NOR - Norway.txt
NOV - Novgorod.txt
NPL - Nepal.txt
NRC - Norcia.txt
NRM - Normandy.txt
NSA - Nassau.txt
NSS - New Providence.txt
NTK - Nootka.txt # changed from NOO
NUB - Funj.txt
NUM - Nuremberg.txt
NUP - nupe.txt
NVA - Novara.txt
NVK - Nivkh.txt
NVR - Navanagar.txt
NVT - Nunavimmiut.txt
NZH - Nizhny Novgorod.txt
NZL - Zealandia.txt
NZP - NezPerce.txt
NZZ - Nice.txt
ODA - Oda.txt
ODH - Oudh.txt
OGL - Ouargla.txt
OGS - Ogasawara.txt
OIR - OiratHorde.txt
OJI - Ojibwa.txt
OKA - Oka.txt
OLD - Oldenburg.txt
OLE - Oels.txt
OMA - Oman.txt
OPL - Opole.txt
ORD - Ormond.txt
ORI - Orissa.txt
ORL - Orleans.txt
ORM - Ormuz.txt
ORV - Orvieto.txt
OSA - Osage.txt
OSL - OselWiek.txt
OSN - Osnabruck.txt
OTM - Otomo.txt
OTN - OttomanTunisia.txt
OTO - Otomi.txt
OTT - Ottawa.txt
OUC - Ouchi.txt
OYO - Oyo.txt
PAD - Paderborn.txt
PAH - Pahang.txt
PAL - Palatinate.txt
PAN - Panna.txt
PAP - Papal.txt
PAR - Parma.txt
PAT - Pattani.txt
PAV - Pavia.txt
PAW - Pawnee.txt
PCJ - Pacajes.txt
PCZ - Piacenza.txt
PDV - Padua.txt
PEG - Pegu.txt
PEK - Pekalongan.txt
PEM - Pembroke.txt
PEQ - Pequot.txt
PER - Persia.txt
PEU - Peru.txt
PGA - Perugia.txt
PGH - Priangan.txt
PGR - Pagarruyung.txt
PGS - Pangasinan.txt
PHA - Phagmodrupa.txt
PHM - Phimai.txt
PHP - PhilippopolisCrusader.txt
PIC - Picardy.txt
PIE - Piedmont.txt
PIM - Pima.txt
PIO - Piombino.txt
PIR - Pirates.txt
PIS - Pisa.txt
PLB - Palembang.txt
PLC - The Commonwealth.txt
PLT - Polotsk.txt
PLW - Palawa.txt # new in 1.31
PMO - Pomo.txt
PMS - Pomesania.txt
PNN - Pinneberg.txt
PNT - Pontianak.txt
POI - Poitou.txt
POL - Poland.txt
POM - Pommern.txt
POR - Portugal.txt
POT - Potawatomi.txt
POW - Powhatan.txt
PRA - Prato.txt
PRB - Porbandar.txt
PRD - Parlakhimidi.txt
PRG - Paraguay.txt
PRI - Paris.txt
PRK - Perak.txt
PRM - Perm.txt
PRO - Provence.txt
PRS - Pronsk.txt
PRT - Porto.txt
PRU - Prussia.txt
PRY - Port Royal.txt
PSA - Pasai.txt
PSK - Pskov.txt
PSR - Pesaro.txt
PSS - Passau.txt
PST - Pistoia.txt
PTA - Patiala.txt
PTE - Pate.txt
PTG - Potiguara.txt
PTL - Palitana.txt
PTT - Patna.txt
PUE - Pueblo.txt
PUN - Punjab.txt
QAR - Qara Koyunlu.txt
QAS - QasimKhanate.txt
QIC - Qi.txt
QIN - Qin.txt
QNG - Qing.txt
QOM - Qom.txt
QQF - Chiracahua.txt
QQG - Mescalero.txt
QQH - Jicarilla.txt
QQM - Kainai.txt
QQN - Piikani.txt
QTO - Quito.txt
QUE - Quebec.txt
RAC - Ratibor.txt
RAG - Ragusa.txt
RAM - Ramazan.txt
RAS - Rassids.txt
RAV - Ravenna.txt
REB - Rebel Scum.txt
REG - Regensburg.txt
RFR - Nanbu.txt
RGO - Reggio.txt
RGR - Regraga.txt
RHD - Rhade.txt
RHM - Rheims.txt
RHN - Rohan.txt
RIA - Riau.txt
RIF - Riffans.txt
RIG - Riga.txt
RIJ - Rijeka.txt
RJK - Rajkot.txt
RJP - Rajputana.txt
RMG - Romagna.txt
RMN - Romania.txt
RMP - Rohilkhand.txt
ROC - RepublicofCyrpus.txt
ROM - RomanEmpire.txt
ROS - Rostock.txt
ROT - Rothenburg.txt
RSO - Rostov.txt
RTT - Ratanpur.txt
RUG - Rugen.txt
RUM - Rum.txt
RUP - Ruppin.txt
RUS - Russia.txt
RVA - Ravensburg.txt
RWA - Rwanda.txt
RYA - Ryazan.txt
RYU - Ryukyu.txt
RZW - Butua.txt
SAA - Saarbrucken.txt
SAG - Sagan.txt
SAK - Siak.txt
SAL - Salish.txt
SAR - Sardinia.txt
SAV - Savoy.txt
SAX - Saxony.txt
SBA - Shiba.txt
SBP - Sambalpur.txt
SBW - Sumbawa.txt
SCA - Scandinavia.txt
SCI - Steinau.txt
SCN - Scania.txt
SCO - Scotland.txt
SDY - Sadiya.txt
SEM - Semigallia.txt
SER - Serbia.txt
SEV - Severin.txt
SFA - Sofala.txt
SGG - Sanggau.txt
SGP - Singapore.txt
SHA - Shawnee.txt
SHE - Sheki.txt
SHL - Holstein.txt
SHM - Shammar.txt
SHN - Shoni.txt
SHO - Shoshone.txt
SHR - Sharjah.txt
SHU - Shu.txt
SHY - Shaybanid.txt
SIA - Siam.txt
SIB - Sibir.txt
SIC - Sicily.txt
SIE - Siena.txt
SIL - Silesia.txt
SIO - Sioux.txt
SIS - Sistan.txt
SKA - Sakalava.txt
SKD - Sukadana.txt
SKK - Sikkim.txt
SKR - Silla.txt
SLA - Slavonia.txt
SLE - Sale.txt
SLK - Shilluk.txt
SLN - Sligo.txt
SLO - Nyitra.txt
SLT - Slutsk.txt
SLV - Slavey.txt
SLW - Schleswig.txt
SLZ - Salzburg.txt
SMA - Sambia.txt # changed from SMB
SME - Samthske.txt
SMG - Samogitia.txt
SMI - Sami.txt
SMO - Smolensk.txt
SMS - Sambas.txt
SMZ - Shimazu.txt
SNA - Sonora.txt
SND - Sind.txt
SOA - Shewa.txt
SOC - Socotra.txt
SOF - Segu.txt
SOK - Sokoto.txt
SOL - Solon.txt
SON - Songhai.txt
SOO - So.txt
SOR - Lusatia.txt
SOS - Sus.txt
SPA - Spain.txt
SPI - SardiniaPiedmont.txt
SPK - Serpukhov.txt
SPL - Spoleto.txt
SPP - Soppeng.txt
SPR - Selaparang.txt
SRA - Sora.txt
SRB - Surabaya.txt
SRG - Surguja.txt
SRH - Sirhind.txt
SRK - Surakarta.txt
SRM - Sirmur.txt
SRU - Saruhan.txt
SRV - Shirvan.txt
SSC - Sipsongchautai.txt
SSP - Sipsongpanna.txt
SST - Shan.txt
SSV - SanSevero.txt
STE - Stettin.txt
STG - Sintang.txt
STK - Satake.txt
STL - Stolo.txt
STP - Stolp.txt
STR - Stargard.txt
STV - Stavelot.txt
STY - Styria.txt
SUK - Sukhothai.txt
SUL - Sulu.txt
SUN - Sunda.txt
SUS - Susquehannock.txt
SVJ - Srivijaya.txt
SVL - Seville.txt
SVN - Sovana.txt
SWA - Swabia.txt
SWD - Swidnica.txt
SWE - Sweden.txt
SWI - Switzerland.txt
SWK - Sarawak.txt
SYG - Sarigyogir.txt
SYN - Synthetics.txt
SYO - Soyo.txt
SYR - Syria.txt
SZE - Szeklerland.txt
SZO - Saluzzo.txt
TAB - Tabarestan.txt
TAI - Tairona.txt
TAR - Tarascan.txt
TAT - Taranto.txt # changed from TAN
TAU - Taungu.txt
TAV - Tavastia.txt
TBK - Tumbuka.txt
TBR - Tabriz.txt
TDO - Tondo.txt
TEG - Tegali.txt
TEO - Teotitlan.txt
TER - Ternate.txt
TES - Teschen.txt
TET - Tetouan.txt
TEU - Teutonic Order.txt
TEX - Texas.txt
TFL - Tafilalt.txt
TGI - Tlingit.txt
TGL - Tegal.txt
TGT - Touggourt.txt
THO - Thomond.txt
THU - Thuringia.txt
TIB - Tibet.txt
TID - Tidore.txt
TIM - Timurid Empire.txt
TIR - Tyrol.txt
TIV - Tivoli.txt
TIW - Tiwi.txt # new in 1.31
TKD - Takeda.txt
TKG - Tokugawa.txt
TKI - Toki.txt
TKK - Tekke.txt
